nombre,tienda,precio,moneda,simbolo,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,id
2021 ASUS TUF Dash F15,ASUS,,,,4.5,100.0,"Windows 10 Home - ASUS recomienda Windows 11 Pro para empresas  Procesador Intel® Core™ hasta i7 11 a  Gen 
   Gráficos NVIDIA® GeForce RTX™ 3070 
   Memoria hasta 32 GB 
   Almacenamiento hasta 1TB SSD  Pantalla de 15,6” hasta FHD 240 Hz/3 ms 100 % sRGB   Compatibilidad con Thunderbolt 4",{},Diseño ultra delgado,"['Laptops', 'For-Gaming', 'TUF-Gaming']",https://www.asus.com/ar/laptops/for-gaming/tuf-gaming/2021-asus-tuf-dash-f15/,https://dlcdnwebimgs.asus.com/gain/769aaa49-031e-4a90-b03c-3091198e95a1/w185,15400,15400
2021 ASUS TUF Gaming A15,ASUS,,,,4.5,100.0,"Windows 11 Home - ASUS recomienda Windows 11 Pro para empresas  Procesador hasta AMD® Ryzen™ 7 5800H 
   Gráficos NVIDIA® GeForce RTX™ 3070 
 Memoria hasta 32 GB  Almacenamiento hasta 1 TB SSD  Pantalla de 15.6” hasta FHD 240Hz   
 Ventiladores duales de 83 hojas",{},Gaming / E-sports,"['Laptops', 'For-Gaming', 'TUF-Gaming']",https://www.asus.com/ar/laptops/for-gaming/tuf-gaming/2021-asus-tuf-gaming-a15/,https://dlcdnwebimgs.asus.com/gain/ed4c3cdc-29c4-4bdf-a42b-9f008244a173/w185,15366,15366
2021 ASUS TUF Gaming F15,ASUS,,,,4.5,100.0,"Windows 10 Home - ASUS recomienda Windows 11 Pro para empresas 
 Procesador Intel® Core™ hasta i5 11 a  Gen 
 Gráficos NVIDIA® GeForce RTX™ 3050 
 Memoria hasta 32 GB 
 Almacenamiento hasta 512 GB SSD  Pantalla de 15.6"" hasta FHD 240 Hz  
 Ventiladores duales de 83 aspas",{},Gaming / E-sports,"['Laptops', 'For-Gaming', 'TUF-Gaming']",https://www.asus.com/ar/laptops/for-gaming/tuf-gaming/2021-asus-tuf-gaming-f15/,https://dlcdnwebimgs.asus.com/gain/6c49e355-de25-403c-b8c2-eb0ad4cc8a78/w185,15626,15626
2021 ROG Zephyrus G14   GA401IHR-K2053T,ASUS,,,,0.0,0.0,"Windows 10 Home 
 NVIDIA® GeForce™  GTX™ 1650 Laptop GPU 
 AMD Ryzen™ 7 4800HS Processor 
 14"" WQHD (2560 x 1440) 16:9 120Hz 
 512GB de almacenamiento SSD M.2 NVMe™ PCIe® 3.0",{},2021 ROG Zephyrus G14,"['Notebooks', 'ROG Zephyrus']",https://rog.asus.com/ar/laptops/rog-zephyrus/2021-rog-zephyrus-g14-series/,https://dlcdnwebimgs.asus.com/gain/74C87373-E28C-44A0-B6E7-AD0B77DF78FE/w185,90NR07H3-M00880,R_90NR07H3-M00880
2021 ROG Zephyrus G14   GA401QC-HZ106T,ASUS,,,,0.0,0.0,"Windows 10 Home 
 NVIDIA® GeForce RTX™ 3050 Laptop GPU 
 Procesador AMD Ryzen™ 7 5800HS 
 14"" FHD (1920 x 1080) 16:9 144Hz 
 512GB de almacenamiento SSD M.2 NVMe™ PCIe® 3.0",{},2021 ROG Zephyrus G14,"['Notebooks', 'ROG Zephyrus']",https://rog.asus.com/ar/laptops/rog-zephyrus/2021-rog-zephyrus-g14-series/,https://dlcdnwebimgs.asus.com/gain/1991CB0A-20ED-4A95-AD18-88B850288B49/w185,90NR05T6-M01780,R_90NR05T6-M01780
2021 ROG Zephyrus G14   GA401QC-K2105W,ASUS,,,,0.0,0.0,"Windows 11 Home 
 NVIDIA® GeForce RTX™ 3050 Laptop GPU 
 Procesador AMD Ryzen™ 7 5800HS 
 14"" WQHD (2560 x 1440) 16:9 120Hz 
 512GB de almacenamiento SSD M.2 NVMe™ PCIe® 3.0",{},2021 ROG Zephyrus G14,"['Notebooks', 'ROG Zephyrus']",https://rog.asus.com/ar/laptops/rog-zephyrus/2021-rog-zephyrus-g14-series/,https://dlcdnwebimgs.asus.com/gain/AA9E9F0F-B12B-4EA0-9998-0FE7E275D558/w185,90NR05T3-M002S0,R_90NR05T3-M002S0
2021 ROG Zephyrus G14   GA401QM-K2003T,ASUS,,,,0.0,0.0,"Windows 10 Home 
 NVIDIA® GeForce RTX™ 3060 Laptop GPU 
 Procesador AMD Ryzen™ 9 5900HS 
 14"" WQHD (2560 x 1440) 16:9 120Hz 
 1TB de almacenamiento SSD M.2 NVMe™ PCIe® 3.0",{},2021 ROG Zephyrus G14,"['Notebooks', 'ROG Zephyrus']",https://rog.asus.com/ar/laptops/rog-zephyrus/2021-rog-zephyrus-g14-series/,https://dlcdnwebimgs.asus.com/gain/AF582B48-6C36-4707-95D8-32885DC2A77B/w185,90NR05S6-M05960,R_90NR05S6-M05960
AI Noise-Canceling Mic Adapter,ASUS,,,,4.5,100.0,"ASUS AI Noise-Canceling Mic Adapter con conexión USB-C a 3,5 mm ofrece una comunicación cristalina inigualable",{},Headsets,"['Accessories', 'Headsets-and-Audio', 'Headsets-Accessories']",https://www.asus.com/ar/accessories/headsets-and-audio/headsets-accessories/ai-noise-canceling-mic-adapter/,https://dlcdnwebimgs.asus.com/gain/5537d388-5b3b-490d-a815-100ed757fc2b/w185,14876,14876
ASUS BR1100C,ASUS,,,,4.5,100.0,"Windows 10 Pro - ASUS recomienda Windows 11 Pro para empresas, Actualización gratuita a Windows 11¹ 
 Procesador Intel® Celeron® hasta N4500 
 Memoria hasta 16 GB 
  Almacenamiento hasta 128 GB eMMC 
 Pantalla de 11.6"" hasta HD 
  Diseño robusto  
  WiFi 6 de doble banda (802.11ax) 
  Opcional TÜV Rheinland certified display 
 Cancelación de ruido por IA",{},Para el uso diario,"['Laptops', 'For-Students', 'All-series']",https://www.asus.com/ar/laptops/for-students/all-series/asus-br1100c/,https://dlcdnwebimgs.asus.com/gain/fe609b27-7596-4d43-8f86-36d440fd71bb/w185,15449,15449
ASUS BR1100F,ASUS,,,,4.5,100.0,"Windows 10 Pro - ASUS recomienda Windows 11 Pro para empresas, Actualización gratuita a Windows 11¹ 
 Procesador Intel® Celeron® hasta N4500  
 Memoria hasta 16 GB  
  Almacenamiento hasta 128 GB eMMC + SSD de 1 TB  
  Pantalla de 11.6"" hasta HD 
  Diseño Robusto 
  WiFi 6 de doble banda (802.11ax) 
  Conectividad LTE opcional  
  Pantalla táctil con soporte para lápiz  
  Tecnología de cancelación de ruido con IA",{},Para el uso diario,"['Laptops', 'For-Students', 'All-series']",https://www.asus.com/ar/laptops/for-students/all-series/asus-br1100f/,https://dlcdnwebimgs.asus.com/gain/a16c8fc3-dfa1-46c4-af22-5749a85a506b/w185,15450,15450
ASUS Chromebook C424,ASUS,,,,4.5,100.0,"ChromeOS 
 Procesador Intel &reg;  Pentium &reg;  Silver 
 Gráficos Intel &reg;  UHD 
 Memoria hasta 8 GB  
 Almacenamiento hasta 128 GB eMMc 
 Pantalla de 14&rdquo; hasta FHD 
 WiFi 5 de doble banda (802.11ac) 
 Delgado y ligero: 18 mm, 1,5 kg",{},Tradicional,"['Laptops', 'For-Home', 'Chromebook']",https://www.asus.com/ar/laptops/for-home/chromebook/asus-chromebook-c424/,https://dlcdnwebimgs.asus.com/gain/acb5029e-e2c8-4e45-94d6-555da7617a2c/w185,11061,11061
ASUS Dual GeForce RTX™ 3050 OC Edition 6GB GDDR6,ASUS,,,,4.5,100.0,"ASUS Dual GeForce RTX™ 3050 OC Edition de 6GB GDDR6 con dos potentes ventiladores, rendimiento AAA en juegos y ray tracing",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx3050-o6g/,https://dlcdnwebimgs.asus.com/gain/d99f9dfc-4eaf-45a8-a30e-d7adfe27a204/w185,25204,25204
ASUS Dual GeForce RTX™ 3050 V2 OC Edition 8GB GDDR6,ASUS,,,,4.5,100.0,ASUS Dual GeForce RTX™ 3050 V2 OC Edition 8GB GDDR6 con dos potentes ventiladores Axial-tech y un diseño de 2 ranuras para una amplia compatibilidad.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx3050-o8g-v2/,https://dlcdnwebimgs.asus.com/gain/298b5818-038d-44ad-aa4f-879ef780ff9e/w185,20802,20802
